song,track_id,release_date,song_popularity,duration(ms),explicit,artist_name,artist_id,artist_follower_no,artist_genres,artist_popularity
"Murder Song (5, 4, 3, 2, 1) - Acoustic",7zVtJsdWDKTvykPA6WMcL9,2014,50,218666,False,AURORA,1WgXqy2Dd70QQOU7Ay074N,2348833,"['art pop', 'norwegian pop']",71
In Boxes,0uXIKlIHcZjH2vmtnw0oR7,2015-04-04,38,203666,False,AURORA,1WgXqy2Dd70QQOU7Ay074N,2348833,"['art pop', 'norwegian pop']",71
Little Boy in the Grass,4svfKC0r83ePCiyanfnScV,2015-04-04,40,256480,False,AURORA,1WgXqy2Dd70QQOU7Ay074N,2348833,"['art pop', 'norwegian pop']",71
Winter Bird,76OkhkuYMwKg1DczqFQARu,2014,43,244146,False,AURORA,1WgXqy2Dd70QQOU7Ay074N,2348833,"['art pop', 'norwegian pop']",71
I Went Too Far,60j1W3Q4QanUCKlLDvc3ph,2014,43,207853,False,AURORA,1WgXqy2Dd70QQOU7Ay074N,2348833,"['art pop', 'norwegian pop']",71
Sail,7ueP5u2qkdZbIPN2YA6LR0,2011-03-15,74,259093,False,AWOLNATION,4njdEjTnLfcGImKZu1iSrz,2086697,"['la indie', 'modern alternative rock', 'modern rock', 'pop rock', 'rock', 'stomp pop']",61
I Am,31CgjKFR1pzFO5Im365rXB,2015-03-17,46,274322,False,AWOLNATION,4njdEjTnLfcGImKZu1iSrz,2086697,"['la indie', 'modern alternative rock', 'modern rock', 'pop rock', 'rock', 'stomp pop']",61
Hollow Moon (Bad Wolf),7cfr3F2jpzjwqL6ZhGfjtH,2015-03-17,50,258860,True,AWOLNATION,4njdEjTnLfcGImKZu1iSrz,2086697,"['la indie', 'modern alternative rock', 'modern rock', 'pop rock', 'rock', 'stomp pop']",61
Kill Your Heroes,7LJF6AtijSniUJpmZTqKRj,2011-03-15,55,178840,False,AWOLNATION,4njdEjTnLfcGImKZu1iSrz,2086697,"['la indie', 'modern alternative rock', 'modern rock', 'pop rock', 'rock', 'stomp pop']",61
Jump on My Shoulders,6H8AKz5NlriFAJ2soLDfSa,2021-03-15,40,248413,True,AWOLNATION,4njdEjTnLfcGImKZu1iSrz,2086697,"['la indie', 'modern alternative rock', 'modern rock', 'pop rock', 'rock', 'stomp pop']",61
Not Your Fault,31hUonEmUsEVd0FMRv1s5r,2011-03-15,52,242466,False,AWOLNATION,4njdEjTnLfcGImKZu1iSrz,2086697,"['la indie', 'modern alternative rock', 'modern rock', 'pop rock', 'rock', 'stomp pop']",61
Thiskidsnotalright,0dGPGavyiPtOdAGGi11pt3,2021-03-15,46,161200,True,AWOLNATION,4njdEjTnLfcGImKZu1iSrz,2086697,"['la indie', 'modern alternative rock', 'modern rock', 'pop rock', 'rock', 'stomp pop']",61
Back & Forth,45wneA2j0Z0WMnYNDO6Ad0,1994-05-22,57,231093,False,Aaliyah,0urTpYCsixqZwgNTkPJOJ4,3339375,"['contemporary r&b', 'dance pop', 'hip pop', 'pop', 'pop rap', 'r&b', 'urban contemporary']",65
And Can It Be (Live),3Z6nm5jGyvKnjNMCD6b1uR,2016-10-14,32,358699,False,Aaron Keyes,1hVGwYOmDTYPGeymjvTmeq,25259,"['anthem worship', 'ccm', 'christian music', 'roots worship', 'worship']",38
My Savior My God,1syFMBjjRvL3uReOM8yWEb,2005-08-23,53,291986,False,Aaron Shust,0oM8RWZXhJYSnzGdepP7fM,205634,"['anthem worship', 'ccm', 'christian alternative rock', 'christian music', 'rock cristiano', 'world worship', 'worship']",44
Ever Be,15ieUaAegwQRlmEigRUwTv,2016-01-29,48,230093,False,Aaron Shust,0oM8RWZXhJYSnzGdepP7fM,205634,"['anthem worship', 'ccm', 'christian alternative rock', 'christian music', 'rock cristiano', 'world worship', 'worship']",44
My Hope Is in You,3IuTraprrDiCiGJ7tiGpGu,2011-08-23,47,254880,False,Aaron Shust,0oM8RWZXhJYSnzGdepP7fM,205634,"['anthem worship', 'ccm', 'christian alternative rock', 'christian music', 'rock cristiano', 'world worship', 'worship']",44
No One Higher,7qOUyF8WXgrMBFuCAMz8o1,2013-07-16,40,271026,False,Aaron Shust,0oM8RWZXhJYSnzGdepP7fM,205634,"['anthem worship', 'ccm', 'christian alternative rock', 'christian music', 'rock cristiano', 'world worship', 'worship']",44
Outta Style,0b1Xx3vUapY6ZOqbPMcpDq,2017-02-24,53,222213,False,Aaron Watson,5BKzvAPtNXnt0LwzGvKOH3,221743,"['contemporary country', 'country', 'country road', 'modern country rock', 'texas country']",53
Take A Chance On Me,5BckPAYcKEJuYs1eV1BHHe,1977,74,243933,False,Abbacadabra,4vhgCDK6RHCBN6P3jPQlZX,3445,['euro hi-nrg'],27
Here Comes The Sun,4ytiGaEUfAPKSXDSlQ7E1j,1994-01-01,36,179813,False,Abbey Road Players,2oXgeUDjSW4iq9tQMuEnyi,182,['tribute'],1
